location_name,nm_mean,nm_moe,rt_mean,rt_moe
Global,5527113.0677811,13.20372533133309990049021605,77.14133607400001,13.20372533080525191668192616
Developing,4925199.4453746,11.66074989875147799445284892,84.222369688,11.66074989741317481113105500
Developed,601913.62240652,19.00851296283753117307691277,45.701112693,19.00851295740388546789137749
"Southeast Asia, East Asia, and Oceania",2148509.230437,10.35821694110426642552750988,102.94236787899999,10.35821694168413784672459407
East Asia,1687684.5457649,9.425768681142493884907941322,117.083795686,9.425768680952510284725537659
China,1625164.0017438,9.115714392962041890578432473,116.659892079,9.115714392784561480459185757
North Korea,45781.555990051,6.233480254566572230763237214,183.774405302,6.233480254696889402932660962
Taiwan,16738.988031058,5.868435831993915733894310232,71.40404375,5.868435831873696695961124166
Southeast Asia,453020.75869701,8.232329406116692844656555856,71.332101767,8.232329405502983936094310524
Cambodia,19594.578254705,7.093212194981242071747222515,128.524203345,7.093212195055789549277533755
Indonesia,162409.507402,6.436639253110995585295607855,65.159389637,6.436639253347107366886040415
Laos,7250.8133436563,3.235776154182139373626639783,107.37949802,3.235776154189941127544550536
Malaysia,7611.7707717576,11.52775094005547081257140824,25.640981961,11.52775093786936113850815284
Maldives,23.533464808834,2.806439619315995845057219351,6.8304039759999995,2.806439618810448601658742654
Myanmar,62467.219050523,2.919413591210565432048943983,117.067293744,2.919413591216869886597016360
Philippines,57403.26445144,4.882906813571004415180093311,58.280296207999996,4.882906813480648477694285266
Sri Lanka,19693.26106193,5.802716701912758369158292877,92.52601899300001,5.802716701821541483318677783
Thailand,48818.669967614,4.891776717373049538262875952,72.919194608,4.891776717409939441384016871
Timor-Leste,548.98409421826,5.543095227755828298588490456,48.313608493,5.543095227736508810905130738
Vietnam,66314.038012491,5.331166270278763839581650350,72.309626436,5.331166270115744760708051205
Oceania,7803.9259750444,3.535796629822656083432790916,73.766438724,3.535796629828239238484255426
Fiji,465.74642366876,3.099121789206160392307969596,52.816640379,3.099121789083718088081809481
Kiribati,65.274472663071,3.174675208930160308552059477,63.673822707999996,3.174675208921204159770611253
Marshall Islands,18.837093828454,2.381001106507092159742979607,27.448962551,2.381001106560519098996825268
Federated States of Micronesia,40.321078726094,2.438306903518850619549863216,38.716210731,2.438306903562683096113363811
Papua New Guinea,5256.0221173869,3.179479728156315801248523306,71.63006722,3.179479728182313640680410079
Samoa,85.845379077387,4.110864728592395451441747583,44.970588305,4.110864728443570596564068974
Solomon Islands,416.9681201921,2.857202678091449844944244985,73.909371214,2.857202678033399453681592763
Tonga,43.38018402005,3.271044571725244207356687729,41.042296569,3.271044571858330026083727611
Vanuatu,212.91926805164,2.881344077770007856306989425,84.712237031,2.881344077732070787060930055
"Central Europe, Eastern Europe, and Central Asia",311928.86566165,25.59675611931662025400097927,75.614183763,25.59675612299778173303844365
Central Asia,64129.265044759,14.53436235061916010219102598,76.236731778,14.53436235285342546422504379
Armenia,2401.3974562231,9.116176159560558146115639391,80.734011505,9.116176159229507937758234067
Azerbaijan,5994.211682218,7.317431573291722251400682065,63.485917560000004,7.317431573217137335433291592
Georgia,7995.0521529756,5.512935466787016713686393440,184.18068728,5.512935466722731759981437292
Kazakhstan,12316.990455772,8.639790353209075088075351058,74.850817726,8.639790352861372988491124143
Kyrgyzstan,4952.4896181967,6.097883071952182580953365824,89.17267519299999,6.097883072105114055886381218
Mongolia,2424.0849625902,5.329053022824418422385577507,85.47873694799999,5.329053022828112115926338721
Tajikistan,5230.335906852,5.841352893813053585980120110,63.357684469,5.841352893898747291368872020
Turkmenistan,3729.7162787957,6.915554447386380511885577272,70.89752157299999,6.915554447219946213206506376
Uzbekistan,19084.986531136,6.225237301294447432315728475,65.809388092,6.225237301406137365182993033
Central Europe,77437.579749563,22.19453902981729231801762373,64.957512205,22.19453902645563612389907616
Albania,1720.3989939746,6.038599771283793080441992960,54.177855005000005,6.038599771635948265982243887
Bosnia and Herzegovina,1882.0421361845,8.622936340957578262917093139,49.129265993000004,8.622936341685166189560082248
Bulgaria,7297.4448737242,11.02968138283018848153294180,100.670131869,11.02968138230036893535639072
Croatia,2715.8050836893,14.88172979178829302721485959,63.375452626000005,14.88172979261467074064121958
Czech Republic,6639.7660656132,20.34582495495341371206148521,62.861645298,20.34582495611632636540169257
Hungary,7434.8332025327,12.67055771183674877939795978,74.213911766,12.67055771362114445325824994
Macedonia,1293.6436184183,14.49271999279331915502402930,61.364183256,14.49271999269310623183280069
Montenegro,421.52238683635,9.873013408392253332446730754,67.917988294,9.873013409022718177284025524
Poland,23295.382179387,16.01318492069791201056436707,60.373245855,16.01318492023979601278475404
Romania,15880.340214014,17.78778625768849586559459177,73.17302188400001,17.78778625476843084657594944
Serbia,4626.9517921113,14.34444384996108145663251505,48.610757442,14.34444384951129159504882794
Slovakia,3382.6773858483,16.96809640693948221249996943,61.65319781,16.96809640913551078978779419
Slovenia,846.77181723015,9.986558169844002833344566101,40.910307028,9.986558168686105971622877620
Eastern Europe,170362.02086733,24.89722493757602632508463948,81.436686363,24.89722493701455832535473567
Belarus,9816.2191514892,13.31234062619493173654492710,103.51575332,13.31234062732312654967573562
Estonia,503.65938707254,5.059596361818833416700729805,37.717205261000004,5.059596361799636661171747553
Latvia,1406.5701096042,14.34753986387604154672393408,70.24654428,14.34753986416448210064715349
Lithuania,2270.0862478671,19.36849766908443060106816740,77.73175013,19.36849766917226874911958543
Moldova,2908.2867925128,22.89345693499938113670078281,83.262449114,22.89345692989704957420890891
Russia,104378.86522312,20.08616675492091999226631256,72.556877571,20.08616675589080813003163105
